Dataset,Panel,Sampling seed,Original features,Alternative features,Accuracy,Macro-F1,Positive F1,Delta Macro-F1 vs original,Feature ids
SMS Spam,1,2026,11,9,0.9760,0.9469,0.9077,+0.0096,original:mentions_prize_reward_gift; original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_discount_or_rate; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:requests_immediate_action; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c29; alternative:sms_alt_c33; alternative:sms_alt_c35
SMS Spam,12,2026,10,10,0.9750,0.9446,0.9035,+0.0072,original:mentions_prize_reward_gift; original:impersonates_official_entity; original:mentions_money_payment; original:mentions_free_offer; original:mentions_discount_or_rate; original:creates_urgency; original:threatens_loss_or_penalty; original:asks_click_link; original:requests_personal_information; original:mentions_meeting_family_friends; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c11; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c33; alternative:sms_alt_c34; alternative:sms_alt_c36
SMS Spam,13,2026,8,12,0.9720,0.9385,0.8931,+0.0012,original:mentions_prize_reward_gift; original:mentions_financial_gain_or_cost; original:creates_urgency; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:asks_user_reply_or_call; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c11; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c25; alternative:sms_alt_c29; alternative:sms_alt_c33; alternative:sms_alt_c34; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,14,2026,11,9,0.9790,0.9522,0.9163,+0.0148,original:claims_winner_or_selected; original:impersonates_official_entity; original:mentions_money_payment; original:creates_urgency; original:uses_deadline_or_expiry; original:asks_click_link; original:asks_user_reply_or_call; original:requests_personal_information; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c02; alternative:sms_alt_c12; alternative:sms_alt_c17; alternative:sms_alt_c19; alternative:sms_alt_c25; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c33; alternative:sms_alt_c36
SMS Spam,15,2026,11,9,0.9750,0.9453,0.9049,+0.0079,original:mentions_prize_reward_gift; original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:mentions_discount_or_rate; original:threatens_loss_or_penalty; original:asks_user_reply_or_call; original:requests_personal_information; original:requests_immediate_action; original:normal_personal_conversation; original:mentions_meeting_family_friends; alternative:sms_alt_c02; alternative:sms_alt_c12; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c25; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c35
SMS Spam,16,2026,9,11,0.9770,0.9487,0.9105,+0.0113,original:claims_winner_or_selected; original:uses_promotional_or_marketing_claim; original:mentions_free_offer; original:mentions_financial_gain_or_cost; original:uses_deadline_or_expiry; original:asks_user_reply_or_call; original:normal_personal_conversation; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c09; alternative:sms_alt_c12; alternative:sms_alt_c17; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c34; alternative:sms_alt_c35
SMS Spam,17,2026,9,11,0.9850,0.9658,0.9402,+0.0285,original:claims_winner_or_selected; original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:mentions_free_offer; original:contains_all_caps_or_exclamation_emphasis; original:asks_user_reply_or_call; original:requests_immediate_action; original:normal_personal_conversation; original:uses_casual_emotional_language; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c03; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c12; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c20; alternative:sms_alt_c27; alternative:sms_alt_c30
SMS Spam,18,2026,9,11,0.9840,0.9632,0.9355,+0.0258,original:mentions_discount_or_rate; original:uses_deadline_or_expiry; original:contains_all_caps_or_exclamation_emphasis; original:asks_user_reply_or_call; original:requests_personal_information; original:requests_immediate_action; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c04; alternative:sms_alt_c10; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,19,2026,11,9,0.9780,0.9514,0.9154,+0.0140,original:mentions_prize_reward_gift; original:claims_winner_or_selected; original:uses_promotional_or_marketing_claim; original:mentions_discount_or_rate; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:asks_user_reply_or_call; original:requests_immediate_action; original:normal_personal_conversation; original:refers_previous_conversation; alternative:sms_alt_c02; alternative:sms_alt_c09; alternative:sms_alt_c11; alternative:sms_alt_c19; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c33; alternative:sms_alt_c34; alternative:sms_alt_c35
SMS Spam,20,2026,7,13,0.9850,0.9654,0.9393,+0.0280,original:impersonates_official_entity; original:mentions_money_payment; original:mentions_financial_gain_or_cost; original:creates_urgency; original:threatens_loss_or_penalty; original:asks_click_link; original:asks_user_reply_or_call; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c03; alternative:sms_alt_c10; alternative:sms_alt_c12; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c20; alternative:sms_alt_c25; alternative:sms_alt_c27; alternative:sms_alt_c30; alternative:sms_alt_c34; alternative:sms_alt_c36
SMS Spam,21,2026,12,8,0.9730,0.9420,0.8996,+0.0047,original:mentions_prize_reward_gift; original:claims_winner_or_selected; original:mentions_money_payment; original:mentions_discount_or_rate; original:creates_urgency; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:asks_click_link; original:asks_user_reply_or_call; original:requests_immediate_action; original:normal_personal_conversation; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c12; alternative:sms_alt_c18; alternative:sms_alt_c27; alternative:sms_alt_c36
SMS Spam,22,2026,11,9,0.9780,0.9514,0.9154,+0.0140,original:mentions_prize_reward_gift; original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:asks_click_link; original:asks_user_reply_or_call; original:requests_personal_information; original:requests_immediate_action; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c09; alternative:sms_alt_c11; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c27; alternative:sms_alt_c33; alternative:sms_alt_c35
SMS Spam,23,2026,13,7,0.9740,0.9436,0.9023,+0.0063,original:mentions_prize_reward_gift; original:claims_winner_or_selected; original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:asks_user_reply_or_call; original:requests_personal_information; original:requests_immediate_action; original:normal_personal_conversation; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c10; alternative:sms_alt_c11; alternative:sms_alt_c12; alternative:sms_alt_c17; alternative:sms_alt_c20; alternative:sms_alt_c29; alternative:sms_alt_c33
SMS Spam,24,2026,12,8,0.9780,0.9510,0.9147,+0.0137,original:mentions_prize_reward_gift; original:impersonates_official_entity; original:mentions_money_payment; original:mentions_discount_or_rate; original:mentions_financial_gain_or_cost; original:creates_urgency; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:asks_click_link; original:asks_user_reply_or_call; original:normal_personal_conversation; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c12; alternative:sms_alt_c17; alternative:sms_alt_c25; alternative:sms_alt_c27; alternative:sms_alt_c34
SMS Spam,25,2026,8,12,0.9840,0.9632,0.9355,+0.0258,original:mentions_prize_reward_gift; original:uses_promotional_or_marketing_claim; original:mentions_free_offer; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:asks_user_reply_or_call; original:uses_casual_emotional_language; alternative:sms_alt_c01; alternative:sms_alt_c03; alternative:sms_alt_c11; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c20; alternative:sms_alt_c27; alternative:sms_alt_c30; alternative:sms_alt_c33; alternative:sms_alt_c34; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,26,2026,9,11,0.9820,0.9589,0.9280,+0.0215,original:mentions_prize_reward_gift; original:uses_promotional_or_marketing_claim; original:mentions_discount_or_rate; original:creates_urgency; original:threatens_loss_or_penalty; original:requests_personal_information; original:requests_immediate_action; original:normal_personal_conversation; original:refers_previous_conversation; alternative:sms_alt_c03; alternative:sms_alt_c04; alternative:sms_alt_c10; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c25; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c33; alternative:sms_alt_c34
SMS Spam,27,2026,11,9,0.9690,0.9321,0.8821,-0.0052,original:impersonates_official_entity; original:mentions_money_payment; original:mentions_free_offer; original:mentions_financial_gain_or_cost; original:creates_urgency; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:asks_user_reply_or_call; original:requests_personal_information; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c09; alternative:sms_alt_c12; alternative:sms_alt_c20; alternative:sms_alt_c25; alternative:sms_alt_c34; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,28,2026,10,10,0.9850,0.9654,0.9393,+0.0280,original:impersonates_official_entity; original:mentions_money_payment; original:mentions_free_offer; original:mentions_discount_or_rate; original:mentions_financial_gain_or_cost; original:creates_urgency; original:threatens_loss_or_penalty; original:asks_click_link; original:normal_personal_conversation; original:refers_previous_conversation; alternative:sms_alt_c02; alternative:sms_alt_c03; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c12; alternative:sms_alt_c20; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c33
SMS Spam,29,2026,9,11,0.9820,0.9589,0.9280,+0.0215,original:claims_winner_or_selected; original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:mentions_discount_or_rate; original:creates_urgency; original:contains_all_caps_or_exclamation_emphasis; original:asks_user_reply_or_call; original:requests_immediate_action; alternative:sms_alt_c03; alternative:sms_alt_c09; alternative:sms_alt_c11; alternative:sms_alt_c12; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c25; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c33; alternative:sms_alt_c36
SMS Spam,30,2026,8,12,0.9810,0.9567,0.9243,+0.0194,original:claims_winner_or_selected; original:impersonates_official_entity; original:mentions_discount_or_rate; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:normal_personal_conversation; original:uses_casual_emotional_language; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c03; alternative:sms_alt_c04; alternative:sms_alt_c10; alternative:sms_alt_c11; alternative:sms_alt_c12; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c36
SMS Spam,31,2026,10,10,0.9810,0.9567,0.9243,+0.0194,original:mentions_prize_reward_gift; original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_free_offer; original:mentions_discount_or_rate; original:mentions_financial_gain_or_cost; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:asks_user_reply_or_call; original:requests_personal_information; alternative:sms_alt_c01; alternative:sms_alt_c03; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c33; alternative:sms_alt_c34; alternative:sms_alt_c35
SMS Spam,32,2026,10,10,0.9790,0.9537,0.9195,+0.0164,original:mentions_prize_reward_gift; original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:mentions_free_offer; original:mentions_discount_or_rate; original:threatens_loss_or_penalty; original:contains_all_caps_or_exclamation_emphasis; original:asks_user_reply_or_call; original:mentions_meeting_family_friends; original:refers_previous_conversation; alternative:sms_alt_c02; alternative:sms_alt_c03; alternative:sms_alt_c11; alternative:sms_alt_c12; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c20; alternative:sms_alt_c25; alternative:sms_alt_c33; alternative:sms_alt_c36
SMS Spam,33,2026,11,9,0.9750,0.9446,0.9035,+0.0072,original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:mentions_financial_gain_or_cost; original:creates_urgency; original:uses_deadline_or_expiry; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:normal_personal_conversation; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; alternative:sms_alt_c02; alternative:sms_alt_c09; alternative:sms_alt_c17; alternative:sms_alt_c25; alternative:sms_alt_c27; alternative:sms_alt_c30; alternative:sms_alt_c34; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,34,2026,11,9,0.9680,0.9319,0.8824,-0.0054,original:claims_winner_or_selected; original:impersonates_official_entity; original:mentions_money_payment; original:mentions_free_offer; original:mentions_financial_gain_or_cost; original:contains_all_caps_or_exclamation_emphasis; original:requests_personal_information; original:requests_immediate_action; original:normal_personal_conversation; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c33; alternative:sms_alt_c35
SMS Spam,35,2026,11,9,0.9740,0.9414,0.8976,+0.0040,original:mentions_prize_reward_gift; original:claims_winner_or_selected; original:mentions_money_payment; original:mentions_discount_or_rate; original:mentions_financial_gain_or_cost; original:uses_deadline_or_expiry; original:threatens_loss_or_penalty; original:requests_personal_information; original:requests_immediate_action; original:normal_personal_conversation; original:uses_casual_emotional_language; alternative:sms_alt_c02; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c12; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c30; alternative:sms_alt_c34
SMS Spam,36,2026,7,13,0.9770,0.9487,0.9105,+0.0113,original:mentions_prize_reward_gift; original:impersonates_official_entity; original:asks_click_link; original:asks_user_reply_or_call; original:requests_personal_information; original:normal_personal_conversation; original:mentions_meeting_family_friends; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c12; alternative:sms_alt_c17; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c25; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c33; alternative:sms_alt_c36
SMS Spam,37,2026,9,11,0.9790,0.9534,0.9189,+0.0161,original:impersonates_official_entity; original:mentions_money_payment; original:mentions_financial_gain_or_cost; original:contains_all_caps_or_exclamation_emphasis; original:asks_user_reply_or_call; original:requests_immediate_action; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c03; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c12; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c25; alternative:sms_alt_c27; alternative:sms_alt_c34; alternative:sms_alt_c36
SMS Spam,38,2026,6,14,0.9770,0.9490,0.9112,+0.0117,original:impersonates_official_entity; original:mentions_money_payment; original:creates_urgency; original:uses_deadline_or_expiry; original:asks_user_reply_or_call; original:refers_previous_conversation; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c12; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c25; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,39,2026,11,9,0.9800,0.9546,0.9206,+0.0173,original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:mentions_free_offer; original:mentions_discount_or_rate; original:mentions_financial_gain_or_cost; original:creates_urgency; original:threatens_loss_or_penalty; original:requests_immediate_action; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; alternative:sms_alt_c11; alternative:sms_alt_c12; alternative:sms_alt_c18; alternative:sms_alt_c25; alternative:sms_alt_c30; alternative:sms_alt_c33; alternative:sms_alt_c34; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,40,2026,9,11,0.9850,0.9651,0.9388,+0.0278,original:claims_winner_or_selected; original:impersonates_official_entity; original:uses_promotional_or_marketing_claim; original:mentions_free_offer; original:mentions_financial_gain_or_cost; original:asks_user_reply_or_call; original:requests_immediate_action; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; alternative:sms_alt_c02; alternative:sms_alt_c03; alternative:sms_alt_c11; alternative:sms_alt_c12; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c25; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c34
SMS Spam,41,2026,9,11,0.9770,0.9487,0.9105,+0.0113,original:mentions_prize_reward_gift; original:mentions_free_offer; original:mentions_discount_or_rate; original:creates_urgency; original:uses_deadline_or_expiry; original:contains_all_caps_or_exclamation_emphasis; original:requests_personal_information; original:requests_immediate_action; original:normal_personal_conversation; alternative:sms_alt_c01; alternative:sms_alt_c02; alternative:sms_alt_c03; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c17; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c25; alternative:sms_alt_c30; alternative:sms_alt_c35
SMS Spam,42,2026,8,12,0.9860,0.9676,0.9431,+0.0302,original:impersonates_official_entity; original:mentions_money_payment; original:mentions_free_offer; original:mentions_financial_gain_or_cost; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:requests_personal_information; original:mentions_meeting_family_friends; alternative:sms_alt_c02; alternative:sms_alt_c04; alternative:sms_alt_c09; alternative:sms_alt_c10; alternative:sms_alt_c12; alternative:sms_alt_c19; alternative:sms_alt_c20; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c33; alternative:sms_alt_c35; alternative:sms_alt_c36
SMS Spam,43,2026,9,11,0.9810,0.9570,0.9249,+0.0197,original:claims_winner_or_selected; original:impersonates_official_entity; original:mentions_free_offer; original:mentions_discount_or_rate; original:mentions_financial_gain_or_cost; original:uses_deadline_or_expiry; original:asks_click_link; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; alternative:sms_alt_c01; alternative:sms_alt_c03; alternative:sms_alt_c10; alternative:sms_alt_c12; alternative:sms_alt_c17; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c30; alternative:sms_alt_c33; alternative:sms_alt_c34; alternative:sms_alt_c35
SMS Spam,44,2026,13,7,0.9720,0.9393,0.8947,+0.0020,original:mentions_prize_reward_gift; original:claims_winner_or_selected; original:uses_promotional_or_marketing_claim; original:mentions_free_offer; original:contains_all_caps_or_exclamation_emphasis; original:asks_click_link; original:asks_user_reply_or_call; original:requests_personal_information; original:requests_immediate_action; original:normal_personal_conversation; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; original:refers_previous_conversation; alternative:sms_alt_c03; alternative:sms_alt_c09; alternative:sms_alt_c11; alternative:sms_alt_c20; alternative:sms_alt_c25; alternative:sms_alt_c27; alternative:sms_alt_c36
SMS Spam,45,2026,10,10,0.9810,0.9567,0.9243,+0.0194,original:uses_promotional_or_marketing_claim; original:mentions_money_payment; original:mentions_free_offer; original:mentions_financial_gain_or_cost; original:creates_urgency; original:uses_deadline_or_expiry; original:asks_user_reply_or_call; original:normal_personal_conversation; original:mentions_meeting_family_friends; original:uses_casual_emotional_language; alternative:sms_alt_c04; alternative:sms_alt_c10; alternative:sms_alt_c12; alternative:sms_alt_c17; alternative:sms_alt_c18; alternative:sms_alt_c19; alternative:sms_alt_c25; alternative:sms_alt_c27; alternative:sms_alt_c29; alternative:sms_alt_c30
