dataset,dataset_key,feature_id,feature_category,feature_question
SMS Spam,sms_spam,mentions_meeting_family_friends,personal_normal,"Does the message mention meeting, plans, family, friends, school, work, or daily life?"
SMS Spam,sms_spam,uses_casual_emotional_language,personal_normal,"Does the message use casual, affectionate, humorous, or emotional language typical of personal messages?"
SMS Spam,sms_spam,refers_previous_conversation,personal_normal,"Does the message refer to a previous conversation, shared context, or an ongoing personal exchange?"
SST-2,sst2,expresses_positive_emotion,positive_sentiment,"Does the sentence express positive emotion, approval, pleasure, or enthusiasm?"
SST-2,sst2,contains_praise,positive_sentiment,"Does the sentence praise the movie, a creative element, or the viewing experience?"
SST-2,sst2,mentions_enjoyment,positive_sentiment,"Does the sentence indicate that the movie is enjoyable, entertaining, engaging, or fun?"
SST-2,sst2,describes_high_quality,positive_sentiment,"Does the sentence describe the movie or an aspect of it as high quality, effective, or well made?"
SST-2,sst2,expresses_negative_emotion,negative_sentiment,"Does the sentence express negative emotion, dislike, frustration, or disapproval?"
SST-2,sst2,contains_criticism,negative_sentiment,"Does the sentence criticize the movie, a creative element, or the viewing experience?"
SST-2,sst2,mentions_disappointment,negative_sentiment,"Does the sentence indicate disappointment, failure, wasted potential, or dissatisfaction?"
SST-2,sst2,describes_low_quality,negative_sentiment,"Does the sentence describe the movie or an aspect of it as low quality, ineffective, or poorly made?"
SST-2,sst2,mentions_good_acting_or_writing,aspect_evaluation,"Does the sentence positively evaluate acting, writing, direction, dialogue, story, or filmmaking craft?"
SST-2,sst2,mentions_bad_acting_or_writing,aspect_evaluation,"Does the sentence negatively evaluate acting, writing, direction, dialogue, story, or filmmaking craft?"
SST-2,sst2,contains_comparison,aspect_evaluation,"Does the sentence compare the movie or one of its aspects with another movie, standard, genre, or expectation?"
SST-2,sst2,uses_strong_opinion,aspect_evaluation,"Does the sentence make a strong evaluative judgment about quality, merit, or value?"
SST-2,sst2,contains_irony_or_sarcasm,uncertainty_irony,"Does the sentence contain irony, sarcasm, mock praise, or a non-literal evaluative tone?"
SST-2,sst2,contains_mixed_sentiment,uncertainty_irony,Does the sentence contain both positive and negative evaluation or qualify one sentiment with another?
SST-2,sst2,sounds_uncertain,uncertainty_irony,"Does the sentence sound uncertain, hesitant, tentative, or ambiguous in its evaluation?"
SST-2,sst2,uses_emotional_language,uncertainty_irony,Does the sentence rely on emotionally loaded language rather than a purely descriptive statement?
SST-2,sst2,contains_recommendation,recommendation,"Does the sentence imply that the movie should be watched, avoided, recommended, or not recommended?"
SST-2,sst2,mentions_exciting_content,recommendation,"Does the sentence mention excitement, energy, suspense, charm, or engagement that would attract viewers?"
SST-2,sst2,mentions_boredom,recommendation,"Does the sentence mention boredom, dullness, slowness, tedium, or lack of engagement?"
SST-2,sst2,sounds_confident,recommendation,Does the sentence sound confident or decisive in its recommendation or judgment?
ADE,ade,mentions_medication_or_drug,medication,"Does the text mention a medication, drug, treatment, or pharmaceutical product?"
ADE,ade,mentions_dose_or_frequency,medication,"Does the text mention dose, dosage, frequency, administration route, or medication amount?"
ADE,ade,mentions_drug_discontinuation,medication,"Does the text mention stopping, withdrawing, discontinuing, reducing, switching, or changing a medication?"
ADE,ade,mentions_drug_interaction,medication,"Does the text mention an interaction between drugs, treatments, substances, or co-medications?"
ADE,ade,mentions_symptom_or_condition,clinical_event,"Does the text mention a symptom, medical condition, abnormal finding, or health problem?"
ADE,ade,mentions_adverse_reaction,clinical_event,"Does the text describe an adverse reaction, side effect, toxicity, complication, or harm?"
ADE,ade,mentions_severity,clinical_event,"Does the text mention severity, seriousness, hospitalization, life-threatening events, disability, or death?"
ADE,ade,mentions_lab_or_diagnostic_abnormality,clinical_event,"Does the text mention a laboratory abnormality, diagnostic finding, imaging result, or test result?"
ADE,ade,links_event_to_medication,causality_temporality,Does the text suggest that a clinical event is linked to a medication or treatment?
ADE,ade,mentions_temporal_after_use,causality_temporality,Does the text indicate that a symptom or event occurred after medication use or treatment exposure?
ADE,ade,mentions_rechallenge_or_recovery,causality_temporality,"Does the text mention recovery after stopping a drug, recurrence after restarting, or rechallenge?"
ADE,ade,mentions_onset_or_duration,causality_temporality,"Does the text mention onset timing, duration, progression, or time course of a clinical event?"
ADE,ade,contains_negation_no_event,negation_uncertainty,"Does the text explicitly say that an adverse event, symptom, toxicity, or complication did not occur?"
ADE,ade,contains_uncertainty_or_possible,negation_uncertainty,"Does the text express uncertainty, possibility, suspicion, or lack of confirmation about a clinical event or drug link?"
ADE,ade,states_alternative_cause,negation_uncertainty,Does the text suggest that the clinical event may have another cause besides a medication?
ADE,ade,reports_no_drug_link,negation_uncertainty,"Does the text explicitly state that a clinical event is unrelated, not attributable, or not linked to a medication?"
ADE,ade,mentions_study_or_trial_context,non_ade_context,"Does the text describe a study, trial, review, background statement, or general research context rather than a patient event?"
ADE,ade,mentions_expected_therapeutic_effect,non_ade_context,"Does the text mainly describe intended therapeutic benefit, efficacy, indication, or treatment response?"
ADE,ade,describes_indication_or_background,non_ade_context,"Does the text describe disease background, treatment indication, or clinical context without an adverse event?"
ADE,ade,discusses_general_pharmacology,non_ade_context,"Does the text discuss pharmacology, mechanism, metabolism, or general drug properties rather than a specific adverse event?"
Disaster Tweets,disaster_tweets,mentions_disaster_type,disaster_event,"Does the tweet mention a disaster or hazard type such as fire, flood, earthquake, storm, crash, explosion, or attack?"
Disaster Tweets,disaster_tweets,reports_event_occurrence,disaster_event,"Does the tweet report that a real harmful event is happening, happened, or is expected to happen?"
Disaster Tweets,disaster_tweets,describes_threat_or_danger,disaster_event,"Does the tweet describe a threat, danger, unsafe condition, or risk to people or places?"
Disaster Tweets,disaster_tweets,mentions_cause_or_trigger,disaster_event,"Does the tweet mention a cause, trigger, or source of the disaster or hazardous event?"
Disaster Tweets,disaster_tweets,mentions_location,grounding,"Does the tweet mention a specific location, place, city, country, street, venue, or geographic area?"
Disaster Tweets,disaster_tweets,mentions_time_or_recency,grounding,"Does the tweet mention time, date, recency, live updates, now, today, tonight, or an ongoing event?"
Disaster Tweets,disaster_tweets,includes_source_or_report,grounding,"Does the tweet cite a news source, official report, eyewitness report, alert, or external information source?"
Disaster Tweets,disaster_tweets,first_person_witnessing,grounding,"Does the tweet suggest first-hand witnessing, direct observation, personal presence, or local experience of the event?"
Disaster Tweets,disaster_tweets,mentions_casualties_or_injuries,severity_damage,"Does the tweet mention deaths, casualties, injuries, missing people, victims, or people harmed?"
Disaster Tweets,disaster_tweets,mentions_property_damage,severity_damage,"Does the tweet mention property damage, destruction, collapsed buildings, burning structures, or damaged vehicles?"
Disaster Tweets,disaster_tweets,mentions_infrastructure_disruption,severity_damage,"Does the tweet mention disruption to roads, transport, power, communications, schools, hospitals, or public services?"
Disaster Tweets,disaster_tweets,mentions_scale_or_intensity,severity_damage,"Does the tweet mention scale, intensity, magnitude, many people affected, widespread impact, or severe conditions?"
Disaster Tweets,disaster_tweets,calls_for_help,emergency_response,"Does the tweet call for help, rescue, aid, donations, volunteers, or urgent assistance?"
Disaster Tweets,disaster_tweets,mentions_rescue_or_emergency_services,emergency_response,"Does the tweet mention police, firefighters, ambulance, emergency services, rescue teams, responders, or authorities?"
Disaster Tweets,disaster_tweets,mentions_evacuation_or_shelter,emergency_response,"Does the tweet mention evacuation, shelter, lockdown, refuge, relocation, or people being moved to safety?"
Disaster Tweets,disaster_tweets,gives_safety_instruction,emergency_response,"Does the tweet give or repeat a safety instruction, warning, alert, advisory, or protective action?"
Disaster Tweets,disaster_tweets,uses_metaphor_or_idiom,figurative_non_disaster,Does the tweet use disaster-related words metaphorically or idiomatically rather than describing a real disaster?
Disaster Tweets,disaster_tweets,refers_to_entertainment_or_sports,figurative_non_disaster,"Does the tweet use disaster language in entertainment, sports, gaming, music, celebrity, or fictional context?"
Disaster Tweets,disaster_tweets,expresses_joke_or_sarcasm,figurative_non_disaster,"Does the tweet appear humorous, sarcastic, exaggerated, or playful rather than reporting a real emergency?"
Disaster Tweets,disaster_tweets,discusses_non_event_context,figurative_non_disaster,"Does the tweet discuss a general topic, opinion, advertisement, or non-event context using disaster-related vocabulary?"
