id,source_id,split,label,expresses_positive_emotion,contains_praise,mentions_enjoyment,describes_high_quality,expresses_negative_emotion,contains_criticism,mentions_disappointment,describes_low_quality,mentions_good_acting_or_writing,mentions_bad_acting_or_writing,contains_comparison,uses_strong_opinion,contains_irony_or_sarcasm,contains_mixed_sentiment,sounds_uncertain,uses_emotional_language,contains_recommendation,mentions_exciting_content,mentions_boredom,sounds_confident
sst2_00020,validation_76,train,negative,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1
sst2_00021,train_32196,train,negative,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
sst2_00023,train_26155,train,negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sst2_00022,train_18159,train,positive,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
sst2_00018,train_34221,train,positive,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00025,train_55294,train,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00024,train_67114,train,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00027,validation_245,train,positive,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
sst2_00028,train_65545,test,positive,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00029,train_60752,train,negative,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
sst2_00026,train_17382,train,negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
sst2_00032,train_54660,train,negative,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
sst2_00033,train_31076,train,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00031,train_66668,train,positive,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
sst2_00034,train_39002,test,positive,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
sst2_00030,train_4083,train,negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sst2_00035,train_35491,train,positive,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00037,train_6243,train,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
sst2_00039,train_52240,train,positive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sst2_00038,train_11383,train,positive,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
sst2_00036,train_15702,test,positive,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
sst2_00040,train_5466,train,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sst2_00041,train_5444,train,positive,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
sst2_00042,train_46014,train,negative,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1
sst2_00043,train_1025,train,positive,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
sst2_00046,train_35277,train,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00044,train_34846,train,positive,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
sst2_00045,train_10842,train,negative,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1
sst2_00047,train_53390,train,positive,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00048,train_59338,train,negative,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1
sst2_00051,train_47345,test,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sst2_00049,train_30284,train,positive,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
sst2_00050,train_14636,train,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00052,train_40947,train,negative,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
sst2_00053,train_64780,train,positive,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
sst2_00054,validation_402,train,negative,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1
sst2_00055,train_52579,train,positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sst2_00056,train_6262,train,positive,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
sst2_00058,train_13477,test,positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sst2_00057,train_56775,train,negative,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sst2_00059,train_55536,train,negative,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1
sst2_00061,train_45614,test,positive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
sst2_00060,train_6043,train,positive,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
sst2_00062,train_58706,train,negative,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
sst2_00063,train_15684,train,positive,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1
sst2_00064,train_20587,train,negative,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1
sst2_00067,train_12000,train,negative,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00065,train_18824,train,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sst2_00068,train_62570,train,positive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sst2_00069,train_53485,test,positive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sst2_00066,train_59726,train,positive,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
sst2_00070,train_5002,train,negative,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
sst2_00073,train_61941,train,negative,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
sst2_00071,train_41508,train,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00074,train_47926,test,positive,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
sst2_00072,train_16157,train,positive,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00075,train_26036,test,positive,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
sst2_00076,train_22245,train,positive,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00077,train_66470,train,positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
sst2_00080,train_8226,train,negative,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1
sst2_00078,train_2944,train,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sst2_00079,train_35957,train,negative,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00082,train_17150,test,negative,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
sst2_00081,train_54986,train,positive,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sst2_00083,train_16303,train,positive,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
sst2_00086,train_56870,train,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00085,train_60381,train,positive,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
sst2_00084,train_48427,train,negative,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1
sst2_00088,train_47412,train,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sst2_00087,train_6400,test,positive,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
sst2_00089,train_46989,train,positive,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00091,train_24108,train,positive,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
sst2_00092,train_4398,train,positive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sst2_00090,train_35756,train,positive,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
sst2_00094,train_175,train,negative,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0
sst2_00093,train_63034,train,negative,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1
sst2_00096,train_1874,test,negative,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1
sst2_00095,train_28648,test,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00098,validation_404,train,positive,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
sst2_00097,train_622,train,negative,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1
sst2_00099,train_30250,train,negative,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1
sst2_00101,train_17400,test,positive,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
sst2_00102,train_65110,test,positive,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00100,train_61530,train,negative,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1
sst2_00103,train_41073,train,negative,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00104,train_4381,train,positive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sst2_00106,train_17883,train,positive,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
sst2_00105,train_5490,train,positive,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
sst2_00108,train_9274,train,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00107,train_55444,train,positive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
sst2_00109,train_22977,train,positive,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
sst2_00112,train_56004,train,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00110,train_16725,test,negative,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1
sst2_00111,train_60101,test,negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sst2_00113,train_15459,train,positive,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00114,train_2008,train,positive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sst2_00115,train_4616,train,negative,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00117,validation_704,test,negative,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1
sst2_00119,train_27659,train,positive,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1
sst2_00116,train_43990,train,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sst2_00120,train_17341,test,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
sst2_00118,train_31252,train,negative,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1
sst2_00121,train_5597,train,positive,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1
sst2_00123,train_24168,train,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00122,train_18367,train,positive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sst2_00124,train_4476,train,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sst2_00126,train_52476,train,negative,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1
sst2_00125,train_33193,test,positive,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sst2_00127,train_18300,train,negative,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1
sst2_00128,train_8794,train,negative,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00129,train_62089,test,negative,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1
sst2_00130,train_63076,train,positive,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
sst2_00132,train_5525,train,negative,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1
sst2_00131,train_37982,test,positive,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
sst2_00135,train_31697,train,positive,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
sst2_00133,train_64446,train,negative,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00136,train_56165,train,positive,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sst2_00134,train_14121,train,negative,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1
sst2_00137,train_16108,train,positive,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00138,train_55704,train,positive,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1
sst2_00142,train_21503,train,positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sst2_00141,train_22932,train,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sst2_00139,train_63294,train,positive,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sst2_00140,train_45321,train,negative,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
sst2_00143,train_5719,test,positive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sst2_00144,train_23559,train,positive,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
sst2_00145,train_30827,test,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00147,train_18992,train,positive,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
sst2_00146,train_66214,train,negative,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1
sst2_00150,train_54997,train,positive,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sst2_00149,train_7144,test,negative,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1
sst2_00148,train_23058,train,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00151,train_19491,train,negative,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1
sst2_00152,train_49495,train,positive,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
sst2_00153,train_62572,test,positive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sst2_00155,train_38433,train,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00154,train_375,train,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sst2_00157,train_55707,train,negative,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1
sst2_00156,train_5086,train,positive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sst2_00158,train_30418,train,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00159,train_54723,train,positive,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
sst2_00160,train_37534,test,positive,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
sst2_00162,train_45193,train,positive,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
sst2_00164,train_4518,train,positive,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1
sst2_00163,train_63749,train,negative,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1
sst2_00165,train_32328,test,negative,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sst2_00161,train_40586,train,negative,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
sst2_00168,train_4826,train,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sst2_00167,train_15315,train,positive,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
sst2_00169,train_29027,train,positive,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
sst2_00170,train_13335,train,positive,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00171,train_59553,train,positive,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
sst2_00166,train_55047,train,negative,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
sst2_00173,train_52646,train,positive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sst2_00174,train_5879,test,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00172,train_36652,train,positive,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
sst2_00176,train_37900,train,negative,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1
sst2_00175,train_29892,train,positive,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
sst2_00179,train_19752,train,positive,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00178,train_5097,train,negative,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00177,train_783,train,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00180,train_64324,train,positive,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
sst2_00182,train_3160,train,negative,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1
sst2_00181,train_3210,train,positive,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
sst2_00184,train_65457,train,positive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
sst2_00183,train_41845,train,positive,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sst2_00185,train_45065,train,positive,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
sst2_00186,train_45582,train,positive,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
sst2_00188,train_30697,train,positive,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00187,train_3156,train,negative,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1
sst2_00189,train_43758,train,positive,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
sst2_00191,validation_387,train,positive,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
sst2_00190,train_59100,train,positive,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
sst2_00192,train_28396,train,positive,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
sst2_00193,train_2968,train,positive,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
sst2_00194,train_57190,test,positive,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
sst2_00195,train_45829,test,negative,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1
sst2_00197,train_52264,test,negative,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1
sst2_00199,train_37189,test,negative,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
sst2_00196,train_53799,test,positive,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
sst2_00198,train_49909,train,positive,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
sst2_00201,train_64651,test,negative,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1
sst2_00200,train_49639,train,positive,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1
sst2_00205,train_5066,test,negative,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
sst2_00203,train_2620,train,positive,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
sst2_00202,train_3385,train,positive,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
sst2_00204,train_56661,train,negative,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1
sst2_00207,train_30517,test,positive,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00206,train_44214,train,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00208,train_61313,train,negative,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00209,train_62123,test,positive,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1
sst2_00210,train_5800,train,positive,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00211,train_19715,train,positive,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1
sst2_00213,train_34649,train,negative,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
sst2_00214,train_12180,train,negative,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1
sst2_00216,train_42068,train,negative,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00215,train_22223,train,negative,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
sst2_00217,train_43141,train,negative,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00220,train_24774,train,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00219,train_34275,test,negative,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1
sst2_00218,train_10077,test,positive,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
sst2_00212,train_62609,train,negative,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1
sst2_00222,train_34456,train,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sst2_00221,train_2639,train,positive,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
sst2_00225,train_61611,train,positive,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
sst2_00224,validation_674,train,positive,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
sst2_00223,train_9960,train,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00227,train_19296,train,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sst2_00228,train_24,train,negative,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1
sst2_00226,train_36313,train,negative,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
sst2_00232,train_36533,train,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sst2_00230,train_56307,test,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sst2_00229,train_25375,train,negative,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1
sst2_00231,train_403,train,negative,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1
sst2_00234,train_10089,train,positive,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
sst2_00233,train_38523,train,negative,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
sst2_00236,train_58199,train,negative,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1
sst2_00235,train_31232,train,negative,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1
sst2_00238,train_34867,train,positive,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
